ticker,name,sector,sub_industry
A,AGILENT TECHNOLOGIES INC,Healthcare,Diagnostics & Research
AAPL,APPLE INC,Technology,Consumer Electronics
ABBV,ABBVIE INC,Healthcare,Drug Manufacturers - General
ABNB,AIRBNB INC CLASS A,Consumer Cyclical,Travel Services
ABT,ABBOTT LABORATORIES,Healthcare,Medical Devices
ACGL,ARCH CAPITAL GROUP LTD,Financial Services,Insurance - Diversified
ACN,ACCENTURE PLC CL A,Technology,Information Technology Services
ADBE,ADOBE INC,Technology,Software - Application
ADI,ANALOG DEVICES INC,Technology,Semiconductors
ADM,ARCHER DANIELS MIDLAND CO,Consumer Defensive,Farm Products
ADP,AUTOMATIC DATA PROCESSING,Technology,Software - Application
ADSK,AUTODESK INC,Technology,Software - Application
AEE,AMEREN CORPORATION,Utilities,Utilities - Regulated Electric
AEP,AMERICAN ELECTRIC POWER,Utilities,Utilities - Regulated Electric
AES,AES CORP,Utilities,Utilities - Diversified
AFL,AFLAC INC,Financial Services,Insurance - Life
AIG,AMERICAN INTERNATIONAL GROUP,Financial Services,Insurance - Diversified
AIZ,ASSURANT INC,Financial Services,Insurance - Property & Casualty
AJG,ARTHUR J GALLAGHER + CO,Financial Services,Insurance Brokers
AKAM,AKAMAI TECHNOLOGIES INC,Technology,Software - Infrastructure
ALB,ALBEMARLE CORP,Basic Materials,Specialty Chemicals
ALGN,ALIGN TECHNOLOGY INC,Healthcare,Medical Instruments & Supplies
ALL,ALLSTATE CORP,Financial Services,Insurance - Property & Casualty
ALLE,ALLEGION PLC,Industrials,Security & Protection Services
AMAT,APPLIED MATERIALS INC,Technology,Semiconductor Equipment & Materials
AMCR,AMCOR PLC,Consumer Cyclical,Packaging & Containers
AMD,ADVANCED MICRO DEVICES,Technology,Semiconductors
AME,AMETEK INC,Industrials,Specialty Industrial Machinery
AMGN,AMGEN INC,Healthcare,Drug Manufacturers - General
AMP,AMERIPRISE FINANCIAL INC,Financial Services,Asset Management
AMT,AMERICAN TOWER CORP,Real Estate,REIT - Specialty
AMZN,AMAZON.COM INC,Consumer Cyclical,Internet Retail
ANET,ARISTA NETWORKS INC,Technology,Computer Hardware
AON,AON PLC CLASS A,Financial Services,Insurance Brokers
AOS,SMITH (A.O.) CORP,Industrials,Specialty Industrial Machinery
APA,APA CORP,Energy,Oil & Gas E&P
APD,AIR PRODUCTS + CHEMICALS INC,Basic Materials,Specialty Chemicals
APH,AMPHENOL CORP CL A,Technology,Electronic Components
APO,APOLLO GLOBAL MANAGEMENT INC,Financial Services,Asset Management
APP,APPLOVIN CORP CLASS A,Communication Services,Advertising Agencies
APTV,APTIV PLC,Consumer Cyclical,Auto Parts
ARE,ALEXANDRIA REAL ESTATE EQUIT,Real Estate,REIT - Office
ARES,ARES MANAGEMENT CORP   A,Financial Services,Asset Management
ATO,ATMOS ENERGY CORP,Utilities,Utilities - Regulated Gas
AVGO,BROADCOM INC,Technology,Semiconductors
AVY,AVERY DENNISON CORP,Consumer Cyclical,Packaging & Containers
AWK,AMERICAN WATER WORKS CO INC,Utilities,Utilities - Regulated Water
AXON,AXON ENTERPRISE INC,Industrials,Aerospace & Defense
AXP,AMERICAN EXPRESS CO,Financial Services,Credit Services
AZO,AUTOZONE INC,Consumer Cyclical,Auto Parts
BA,BOEING CO/THE,Industrials,Aerospace & Defense
BAC,BANK OF AMERICA CORP,Financial Services,Banks - Diversified
BALL,BALL CORP,Consumer Cyclical,Packaging & Containers
BAX,BAXTER INTERNATIONAL INC,Healthcare,Medical Instruments & Supplies
BBY,BEST BUY CO INC,Consumer Cyclical,Specialty Retail
BDX,BECTON DICKINSON AND CO,Healthcare,Medical Instruments & Supplies
BEN,FRANKLIN TEMPLETON INC,Financial Services,Asset Management
BF-B,BROWN FORMAN CORP CLASS B,Consumer Defensive,Beverages - Wineries & Distilleries
BG,BUNGE GLOBAL SA,Consumer Defensive,Farm Products
BIIB,BIOGEN INC,Healthcare,Drug Manufacturers - General
BKNG,BOOKING HOLDINGS INC,Consumer Cyclical,Travel Services
BKR,BAKER HUGHES CO,Energy,Oil & Gas Equipment & Services
BLDR,BUILDERS FIRSTSOURCE INC,Industrials,Building Products & Equipment
BLK,BLACKROCK INC,Financial Services,Asset Management
BMY,BRISTOL MYERS SQUIBB CO,Healthcare,Drug Manufacturers - General
BNY,BANK OF NEW YORK MELLON CORP,Financial Services,Banks - Diversified
BR,BROADRIDGE FINANCIAL SOLUTIO,Technology,Information Technology Services
BRK-B,BERKSHIRE HATHAWAY INC CL B,Financial Services,Insurance - Diversified
BRO,BROWN + BROWN INC,Financial Services,Insurance Brokers
BSX,BOSTON SCIENTIFIC CORP,Healthcare,Medical Devices
BX,BLACKSTONE INC,Financial Services,Asset Management
BXP,BXP INC,Real Estate,REIT - Office
C,CITIGROUP INC,Financial Services,Banks - Diversified
CAH,CARDINAL HEALTH INC,Healthcare,Medical Distribution
CARR,CARRIER GLOBAL CORP,Industrials,Building Products & Equipment
CASY,CASEY S GENERAL STORES INC,Consumer Cyclical,Specialty Retail
CAT,CATERPILLAR INC,Industrials,Farm & Heavy Construction Machinery
CB,CHUBB LTD,Financial Services,Insurance - Property & Casualty
CBOE,CBOE GLOBAL MARKETS INC,Financial Services,Financial Data & Stock Exchanges
CBRE,CBRE GROUP INC   A,Real Estate,Real Estate Services
CCI,CROWN CASTLE INC,Real Estate,REIT - Specialty
CCL,CARNIVAL CORP LTD,Consumer Cyclical,Travel Services
CDNS,CADENCE DESIGN SYS INC,Technology,Software - Application
CDW,CDW CORP/DE,Technology,Information Technology Services
CEG,CONSTELLATION ENERGY,Utilities,Utilities - Independent Power Producers
CF,CF INDUSTRIES HOLDINGS INC,Basic Materials,Agricultural Inputs
CFG,CITIZENS FINANCIAL GROUP,Financial Services,Banks - Regional
CHD,CHURCH + DWIGHT CO INC,Consumer Defensive,Household & Personal Products
CHRW,C.H. ROBINSON WORLDWIDE INC,Industrials,Integrated Freight & Logistics
CHTR,CHARTER COMMUNICATIONS INC A,Communication Services,Telecom Services
CI,THE CIGNA GROUP,Healthcare,Healthcare Plans
CIEN,CIENA CORP,Technology,Communication Equipment
CINF,CINCINNATI FINANCIAL CORP,Financial Services,Insurance - Property & Casualty
CL,COLGATE PALMOLIVE CO,Consumer Defensive,Household & Personal Products
CLX,CLOROX COMPANY,Consumer Defensive,Household & Personal Products
CMCSA,COMCAST CORP CLASS A,Communication Services,Telecom Services
CME,CME GROUP INC,Financial Services,Financial Data & Stock Exchanges
CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Cyclical,Restaurants
CMI,CUMMINS INC,Industrials,Specialty Industrial Machinery
CMS,CMS ENERGY CORP,Utilities,Utilities - Regulated Electric
CNC,CENTENE CORP,Healthcare,Healthcare Plans
CNP,CENTERPOINT ENERGY INC,Utilities,Utilities - Regulated Electric
COF,CAPITAL ONE FINANCIAL CORP,Financial Services,Credit Services
COHR,COHERENT CORP,Technology,Scientific & Technical Instruments
COIN,COINBASE GLOBAL INC  CLASS A,Financial Services,Financial Data & Stock Exchanges
COO,COOPER COS INC/THE,Healthcare,Medical Instruments & Supplies
COP,CONOCOPHILLIPS,Energy,Oil & Gas E&P
COR,CENCORA INC,Healthcare,Medical Distribution
COST,COSTCO WHOLESALE CORP,Consumer Defensive,Discount Stores
CPAY,CORPAY INC,Technology,Software - Infrastructure
CPRT,COPART INC,Industrials,Specialty Business Services
CPT,CAMDEN PROPERTY TRUST,Real Estate,REIT - Residential
CRH,CRH PLC,Basic Materials,Building Materials
CRL,CHARLES RIVER LABORATORIES,Healthcare,Diagnostics & Research
CRM,SALESFORCE INC,Technology,Software - Application
CRWD,CROWDSTRIKE HOLDINGS INC   A,Technology,Software - Infrastructure
CSCO,CISCO SYSTEMS INC,Technology,Communication Equipment
CSGP,COSTAR GROUP INC,Real Estate,Real Estate Services
CSX,CSX CORP,Industrials,Railroads
CTAS,CINTAS CORP,Industrials,Specialty Business Services
CTSH,COGNIZANT TECH SOLUTIONS A,Technology,Information Technology Services
CTVA,CORTEVA INC,Basic Materials,Agricultural Inputs
CVNA,CARVANA CO,Consumer Cyclical,Auto & Truck Dealerships
CVS,CVS HEALTH CORP,Healthcare,Healthcare Plans
CVX,CHEVRON CORP,Energy,Oil & Gas Integrated
D,DOMINION ENERGY INC,Utilities,Utilities - Regulated Electric
DAL,DELTA AIR LINES INC,Industrials,Airlines
DASH,DOORDASH INC   A,Consumer Cyclical,Internet Retail
DD,DUPONT DE NEMOURS INC,Basic Materials,Specialty Chemicals
DDOG,DATADOG INC   CLASS A,Technology,Software - Application
DE,DEERE + CO,Industrials,Farm & Heavy Construction Machinery
DECK,DECKERS OUTDOOR CORP,Consumer Cyclical,Footwear & Accessories
DELL,DELL TECHNOLOGIES  C,Technology,Computer Hardware
DG,DOLLAR GENERAL CORP,Consumer Defensive,Discount Stores
DGX,QUEST DIAGNOSTICS INC,Healthcare,Diagnostics & Research
DHI,DR HORTON INC,Consumer Cyclical,Residential Construction
DHR,DANAHER CORP,Healthcare,Diagnostics & Research
DIS,WALT DISNEY CO/THE,Communication Services,Entertainment
DLR,DIGITAL REALTY TRUST INC,Real Estate,REIT - Specialty
DLTR,DOLLAR TREE INC,Consumer Defensive,Discount Stores
DOC,HEALTHPEAK PROPERTIES INC,Real Estate,REIT - Healthcare Facilities
DOV,DOVER CORP,Industrials,Specialty Industrial Machinery
DOW,DOW INC,Basic Materials,Chemicals
DPZ,DOMINO S PIZZA INC,Consumer Cyclical,Restaurants
DRI,DARDEN RESTAURANTS INC,Consumer Cyclical,Restaurants
DTE,DTE ENERGY COMPANY,Utilities,Utilities - Regulated Electric
DUK,DUKE ENERGY CORP,Utilities,Utilities - Regulated Electric
DVA,DAVITA INC,Healthcare,Medical Care Facilities
DVN,DEVON ENERGY CORP,Energy,Oil & Gas E&P
DXCM,DEXCOM INC,Healthcare,Medical Devices
EBAY,EBAY INC,Consumer Cyclical,Internet Retail
ECHO,ECHOSTAR CORP A,Communication Services,Telecom Services
ECL,ECOLAB INC,Basic Materials,Specialty Chemicals
ED,CONSOLIDATED EDISON INC,Utilities,Utilities - Regulated Electric
EFX,EQUIFAX INC,Industrials,Consulting Services
EG,EVEREST GROUP LTD,Financial Services,Insurance - Reinsurance
EIX,EDISON INTERNATIONAL,Utilities,Utilities - Regulated Electric
EL,ESTEE LAUDER COMPANIES CL A,Consumer Defensive,Household & Personal Products
ELV,ELEVANCE HEALTH INC,Healthcare,Healthcare Plans
EME,EMCOR GROUP INC,Industrials,Engineering & Construction
